PLU_Code,Name,Variety,Size,Pieces_In_A_LB,Pieces_In_A_Portion,
4340,Melon,Regular,Yellow,1,6,
4341,Melon,Regular,Yellow-Seedless,1,6,
4342,Melon,Retailer Assigned,Regular,1,6,
4378,Melon,Regular,Regular,1,6,
4646,Mushroom,Black Forest,Regular,20,4,
3404,Mushroom,Cep,Regular,20,4,
4647,Mushroom,Chanterelle,Regular,20,4,
4648,Mushroom,Cemini,Regular,20,4,
3103,Mushroom,Enoki,Regular,20,4,
3405,Mushroom,Fairy Ring Champignon,Regular,20,4,
3406,Mushroom,Grey Tricholoma,Regular,20,4,
3407,Mushroom,Grisette,Regular,20,4,
3408,Mushroom,Horn of Plenty,Regular,20,4,
3102,Mushroom,Morel,Regular,20,4,
4649,Mushroom,Oyster,Regular,20,4,
3409,Mushroom,Pioppomp,Regular,20,4,
4650,Mushroom,Portabella,Small,25,4,
4645,Mushroom,Regular,Regular,20,4,
4085,Mushroom,Regular,Large,18,4,
3410,Mushroom,Saffaron Milk-Crap,Regular,20,4,
3411,Mushroom,Sheep PolyPore,Regular,20,4,
4651,Mushroom,Shiitake ,Regular,20,4,
4652,Mushroom,Wood Ear,Regular,20,4,
4653,Mushroom,Retailer Assigned,Regular,20,4,
4654,Mushroom,Retailer Assigned,Regular,20,4,
3369,Nectarine,Red Flesh,Regular,4,1,
4188,Nectarine,White Flesh,Small ,4,1,
3035,Nectarine,Regular,Large,4,1,
4035,Nectarine,Yellow Flesh,Small ,4,1,
4036,Nectarine,Regular,Large,4,1,
4379,Nectarine,Retailer Assigned,Regular,4,1,
4380,Nectarine,Retailer Assigned,Regular,4,1,
4655,Okra,Green,Regular,14,3,
4656,Okra,Chinese,Regular,14,3,
4657,Okra,Red,Regular,14,3,
4658,Onion,Boiling,Regular,4,1,
4659,Onion,Bulb,Regular,4,1,
4165,Onion,California Sweet,Regular,4,1,
4068,Onion,Green,Regular,4,1,
4164,Onion,Maui,Regular,4,1,
4166,Onion,Other Sweet,Regular,4,1,
4660,Onion,Pearl,Regular,4,1,
4661,Onion,Pickling-White,Regular,4,1,
4082,Onion,Red,Regular,4,1,
3331,Onion,Fresh,Regular,4,1,
4662,Onion,Shallouts,Regular,4,1,
3286,Onion,Sweet,Regular,4,1,
4161,Onion,Texas Sweet,Regular,4,1
4159,Onion,Vidalia,Regular,4,1
4163,Onion,Walla Walla,Regular,4,1,
4663,Onion,White,Regular,4,1,
4665,Onion,Yellow,Regular,4,1,
4093,Onion,Yellow,Regular,4,1,
3412,Onion,Yellow,Regular,4,1,
4666,Onion,Yellow,Regular,4,1,
4670,Onion,Retailer Assigned,Regular,4,1,
4381,Orange,Blood,Regular,6,1,
3028,Orange,Delta,Small-Seedless,6,1,
3153,Orange,Delta,Medium,6,1,
3154,Orange,Delta,Large,5,1,
4382,Orange,Juice,Regular,6,1,
3309,Orange,Lima,Regular,6,1,
3370,Orange,Maltaise,Regular,6,1,
3036,Orange,Midknight,Small,8,1,
3155,Orange,Midknight,Medium,6,1,
3156,Orange,Midknight,Large,5,1,
4013,Orange,Navel,Small,8,1,
43841,Orange,Navel,Organic,6,1,
43842,Orange,Navel,Organic,6,1,
3107,Orange,Navel,Medium,6,1,
4012,Orange,Navel,Large,5,1,
43851,Orange,Navel,Organic,6,1,
43852,Orange,Navel,Organic,6,1,
3110,Orange,Cara,Red,6,1,
3373,Orange,Naveline,Regular,6,1,
3310,Orange,Pera,Regular,6,1,
3371,Orange,Salustiana,Regular,6,1,
3109,Orange,Seville,Regular,6,1,
3027,Orange,Shamouti,Regular,6,1,
4383,Orange,Tangelo Minneola,Regular,6,1,
4386,Orange,Temple,Small,8,1,
4387,Orange,Temple,Large,5,1,
40141,Orange,Valenica,Small,8,1,
3108,Orange,Valenica,Medium,6,1,
4388,Orange,Valenica,Large,5,1,
33743,Orange,Valenica,Organic,6,1,
4389,Orange,Retailer Assigned,Regular,6,1,
4393,Orange,Retailer Assigned,Regular,6,1,
3303,Papaya,Babaco,Regular,1,3,
4395,Papaya,Cooking,Regular,1,3,
3112,Papaya,Meridol,Regular,1,3,
3111,Papaya,Red-Fleshed,Regular,1,3,
4052,Papaya,Regular,Small,1,3,
4394,Papaya,Regular,Large,1,3,
4396,Papaya,Retailer Assigned,Large,1,3,
